id,name,year,count
63f6280ad8966ef293f0f1f3,Alvarado,2014,20
63f6280ad8966ef293f0f1f3,Alvarado,2015,21
63f6280ad8966ef293f0f1f3,Alvarado,2016,24
63f6280ad8966ef293f0f1f3,Alvarado,2017,23
63f6280ad8966ef293f0f1f3,Alvarado,2018,23
63f6280ad8966ef293f0f1f3,Alvarado,2019,22
63f6280ad8966ef293f0f1f3,Alvarado,2020,23
63f6280ad8966ef293f0f1f3,Alvarado,2021,26
63f6279cd8966ef293f0f0bf,Ardenwood,1989,14
63f6279cd8966ef293f0f0bf,Ardenwood,1990,12
63f6279cd8966ef293f0f0bf,Ardenwood,1991,13
63f6279cd8966ef293f0f0bf,Ardenwood,1992,15
63f6279cd8966ef293f0f0bf,Ardenwood,1993,17
63f6279cd8966ef293f0f0bf,Ardenwood,1994,16
63f6279cd8966ef293f0f0bf,Ardenwood,1995,14
63f6279cd8966ef293f0f0bf,Ardenwood,1996,18
63f6279cd8966ef293f0f0bf,Ardenwood,1997,17
63f6279cd8966ef293f0f0bf,Ardenwood,1998,20
63f6279cd8966ef293f0f0bf,Ardenwood,1999,19
63f6279cd8966ef293f0f0bf,Ardenwood,2000,18
63f6279cd8966ef293f0f0bf,Ardenwood,2001,23
63f6279cd8966ef293f0f0bf,Ardenwood,2002,21
63f6279cd8966ef293f0f0bf,Ardenwood,2003,17
63f6279cd8966ef293f0f0bf,Ardenwood,2004,21
63f6279cd8966ef293f0f0bf,Ardenwood,2005,20
63f6279cd8966ef293f0f0bf,Ardenwood,2006,21
63f6279cd8966ef293f0f0bf,Ardenwood,2007,22
63f6279cd8966ef293f0f0bf,Ardenwood,2008,20
63f6279cd8966ef293f0f0bf,Ardenwood,2009,17
63f6279cd8966ef293f0f0bf,Ardenwood,2010,23
63f6279cd8966ef293f0f0bf,Ardenwood,2011,22
63f6279cd8966ef293f0f0bf,Ardenwood,2012,23
63f6279cd8966ef293f0f0bf,Ardenwood,2013,22
